Nombre,Marca,Clase,Precio,Peso,Volumen,Año de Fabricación,Capacidad de Baterí­a,Resolución,Tipo de Pantalla,Conectividad,Memoria RAM,Almacenamiento,Resistencia al Agua,Número de bodega,Número de estante
parlante,Sony,Audioportátil,6503703,218.085.415.800.141,1.921.097.724.253.620,2009,,,,,,,,2,6
celular,Samsung,Audio,5413584,7.341.517.714.817.160,27.604.295.652.729.200,2007,7752.0,,,,,512GB,,2,8
secadora,Samsung,Electrodomésticos,9309355,16.061.894.030.931.100,14.875.373.225.309.500,2023,,,,,,,,3,4
tablet,Amazon,Audio,2782318,4.190.183.149.102.620,3.373.341.438.481.560,2008,,,OLED,,32GB,512GB,,2,3
cpu,AMD,Monitores,4292143,4.919.099.399.012.090,1.514.793.236.183.280,2018,,,,,,,,2,6
tablet,Amazon,Comunicaciones,5022618,26.630.169.264.817.900,6.308.005.976.333.230,2018,6445.0,,OLED,,,512GB,,3,2
cargador,Anker,Fotografía,8642691,2.827.949.936.658.230,11.747.408.977.153.000,2012,,,,,,,,1,9
nevera,LG,Monitores,3045942,21.759.477.536.456.400,20.453.704.149.925.000,2019,,,,,,,,1,8
laptop,Dell,Audio,2038966,1.976.697.130.300.230,2.406.501.116.040.490,2022,4942.0,,,5G,8GB,,,3,2
teclado,Microsoft,Wearables,4756246,32.112.506.489.576.300,7.462.685.377.372.980,2005,,,,,,,,2,5
cargador,Samsung,Fotografía,7784370,11.622.148.868.331.500,16.077.238.747.702.800,2023,,,,,,,,3,10
cargador,Samsung,Comunicaciones,3177960,1.066.181.074.129.920,1.371.195.870.166.260,2018,,,,,,,,1,5
lavadora,Whirlpool,Wearables,6480761,8.065.529.566.689.980,13.116.389.489.321.000,2018,,,,,,,,1,10
cargador,Apple,Informática,2722894,2.162.900.363.890.730,1.606.914.936.266.440,2009,,,,,,,,3,4
celular,Apple,Fotografía,3097861,1.906.393.141.694.280,28.293.030.236.688.400,2006,,,,WiFi,8GB,,None,1,7
nevera,GE,Electrodomésticos,5883852,451.762.014.781.243,25.492.641.886.949.900,2009,,,,,,,,2,7
lavadora,Bosch,Monitores,1916565,37.707.804.192.663.700,13.484.751.896.528.000,2015,,,,,,,,3,10
secadora,Bosch,Wearables,1207096,3.302.846.898.522.730,13.466.986.628.690.200,2014,,,,,,,,1,5
celular,Huawei,Videojuegos,9278964,16.841.647.304.235.700,47.417.872.332.180.800,2007,4153.0,,,,32GB,128GB,IP68,3,3
mouse,Microsoft,Comunicaciones,1225696,4.554.908.558.717.370,41.259.895.700.303.200,2009,,,,,,,,3,6
mouse,Razer,Comunicaciones,9873303,33.835.379.206.545.500,4.137.711.974.364.420,2009,,,,,,,,1,10
mouse,Logitech,Informática,8228883,495.488.843.572.875,41.837.409.135.807.300,2021,,,,,,,,1,4
secadora,Samsung,Monitores,7112759,2.826.143.978.769.350,14.637.316.535.934.200,2010,,,,,,,,2,1
smart watch,Samsung,Videojuegos,1980865,4.174.789.948.090.650,6.529.411.635.675.970,2004,3205.0,,,NFC,,,None,2,5
lavadora,Whirlpool,Comunicaciones,4952914,423.855.008.151.894,10.122.428.514.726.500,2022,,,,,,,,1,2
parlante,Bose,Audioportátil,4139429,2.536.751.290.534.230,4.864.332.659.716.570,2012,,,,NFC,,,,2,8
camara,Canon,Fotografía,6252411,12.467.243.354.804.700,3.030.481.625.561.600,2006,,,,,,,,1,7
cargador,Anker,Informática,3700171,20.526.377.522.701.700,18.698.489.270.436.400,2017,,,,,,,,1,3
teclado,Corsair,Wearables,1664823,13.372.097.970.962.800,1.764.962.590.852.930,2003,,,,,,,,3,9
celular,Xiaomi,Wearables,9057081,32.285.139.291.167.700,48.208.057.554.364.600,2014,,,,5G,4GB,64GB,IP67,2,6
smart watch,Samsung,Electrodomésticos,3402207,8.275.605.991.225.490,9.422.288.044.621.990,2016,2945.0,,OLED,5G,,,,3,6
nevera,Samsung,Informática,6868472,3.592.483.257.343.150,23.576.859.414.175.700,2013,,,,,,,,1,2
televisores,Sony,Wearables,4038093,12.501.041.258.452.400,15.058.058.895.402.400,2023,,8K,OLED,,,,,1,3
monitor,Samsung,Fotografía,156441,10.347.806.217.058.800,1.561.320.686.440.620,2005,,,OLED,,,,,3,7
celular,Huawei,Monitores,8230427,4.511.777.512.052.680,4.154.898.366.205.930,2020,,,,Bluetooth,8GB,64GB,IP68,1,5
mouse,HP,Audio,3670512,43.123.505.621.930.100,4.395.306.641.628.400,2003,,,,,,,,2,2
lavadora,Samsung,Audioportátil,7280208,4.980.958.244.394.610,1.393.790.545.231.450,2016,,,,,,,,2,8
laptop,HP,Monitores,3777016,1.751.837.355.321.830,5.124.104.237.337.430,2003,6459.0,,,NFC,4GB,128GB,,3,5
celular,Samsung,Audioportátil,1097317,10.275.981.151.199.700,20.152.232.589.012.400,2022,,,,NFC,,128GB,IP67,2,10
lavadora,Whirlpool,Fotografía,3707362,5.055.476.510.731.080,12.981.700.758.407.200,2002,,,,,,,,2,8
audifonos,Bose,Electrodomésticos,4007891,4.225.333.701.458.100,35.481.885.035.309.000,2006,,,,Bluetooth,,,,2,6
smart watch,Garmin,Comunicaciones,3191484,4.980.082.999.470.080,18.118.389.720.906.100,2000,,,LCD,WiFi,,,IP67,3,10
smart watch,Garmin,Audio,4454976,15.625.687.480.655.300,11.861.632.121.778.100,2005,,,OLED,Bluetooth,,,IP67,1,6
tablet,Amazon,Videojuegos,5338343,2.839.425.137.737.740,567.617.643.327.151,2016,,,LCD,4G,16GB,512GB,,1,4
parlante,LG,Audio,5425985,44.017.800.530.874.800,3.662.226.996.783.710,2003,,,,NFC,,,,3,3
monitor,LG,Comunicaciones,1375702,2.184.011.484.506.520,13.754.212.694.949.700,2001,,1080p,LCD,,,,,2,2
televisores,Sony,Audio,6379332,3.317.403.102.348.470,14.189.980.659.628.800,2000,,1080p,LED,,,,,1,9
secadora,Whirlpool,Audioportátil,4426199,25.667.129.978.002.300,11.682.890.082.175.700,2001,,,,,,,,1,9
smart watch,Samsung,Wearables,2263424,19.713.911.608.615.200,6.352.087.211.775.160,2009,5122.0,,OLED,WiFi,,,IP68,2,9
parlante,JBL,Monitores,9024763,4.672.544.734.625.280,4.142.243.249.363.800,2002,,,,,,,,3,9
audifonos,Sennheiser,Fotografía,7471349,33.220.471.475.659.300,3.327.330.812.790.400,2020,,,,4G,,,,2,8
tablet,Samsung,Comunicaciones,3962953,4.804.231.324.594.890,3.079.034.719.973.040,2007,,,OLED,WiFi,32GB,64GB,,1,8
mouse,HP,Audio,4440232,5.567.885.287.703.770,12.705.148.030.744.800,2005,,,,,,,,2,7
mouse,HP,Videojuegos,9627603,12.374.237.077.487.600,31.081.820.272.140.500,2011,,,,,,,,2,1
nevera,GE,Informática,846119,20.531.309.778.132.300,24.721.555.772.831.400,2006,,,,,,,,1,1
cargador,Samsung,Audioportátil,2911456,6.385.082.394.946.760,184.151.942.469.455,2023,,,,,,,,3,4
audifonos,Beats,Electrodomésticos,1297629,2.475.844.013.900.640,72.259.112.123.709,2023,,,,,,,,1,8
cargador,Samsung,Audioportátil,7037924,2.310.299.696.831.090,11.807.073.680.028.900,2013,,,,,,,,1,2
smart watch,Samsung,Monitores,9791997,4.528.521.624.312.260,11.122.409.756.130.200,2014,,,OLED,Bluetooth,,,,1,10
mouse,Logitech,Wearables,8913799,4.278.248.903.084.060,14.298.226.794.390.600,2022,,,,,,,,3,1
nevera,GE,Informática,5147513,19.887.544.045.579.000,2.678.901.408.045.000,2002,,,,,,,,2,10
mouse,HP,Audio,8115528,2.250.584.179.602.600,39.044.234.695.663.000,2022,,,,,,,,3,5
mouse,Microsoft,Informática,7048835,37.048.796.281.408.900,4.959.830.013.134.470,2010,,,,,,,,3,7
televisores,TCL,Audio,5079058,52.938.814.609.577.700,1.648.837.253.196.470,2001,,,LCD,,,,,2,10
nevera,Whirlpool,Monitores,5260818,19.441.924.686.452.200,2.401.392.296.731.880,2010,,,,,,,,3,7
monitor,Samsung,Wearables,4008940,4.769.750.752.346.090,8.729.823.501.842.980,2016,,,LCD,,,,,1,10
celular,Xiaomi,Electrodomésticos,638006,10.853.340.044.046.800,3.979.096.814.350.370,2003,2819.0,,,,8GB,128GB,None,1,6
laptop,Apple,Wearables,5627758,4.149.805.026.896.420,677.121.362.746.082,2008,,,LCD,,8GB,,,2,9
cargador,Apple,Videojuegos,9129059,4.112.115.504.541.140,12.911.164.025.333.100,2014,,,,,,,,3,5
secadora,Whirlpool,Monitores,1691089,32.488.708.164.725.300,1.275.711.204.331.670,2008,,,,,,,,2,7
cargador,Anker,Videojuegos,340723,11.643.916.673.547.100,18.729.436.416.468.100,2002,,,,,,,,3,5
secadora,Whirlpool,Audio,7450845,24.234.346.191.024.300,13.854.792.968.326.900,2013,,,,,,,,2,6
cargador,Apple,Informática,5186005,38.889.927.500.908.000,6.719.809.044.571.460,2004,,,,,,,,3,5
camara,Canon,Fotografía,489197,11.077.741.051.416.800,11.355.808.091.246.100,2019,,8K,,,,,,3,4
mouse,Microsoft,Videojuegos,6191162,22.848.224.786.321.500,2.883.004.204.444.550,2000,,,,,,,,1,4
cpu,Qualcomm,Wearables,6285526,4.749.792.643.048.550,10.016.126.346.872.100,2008,,,,,,,,1,9
camara,Panasonic,Comunicaciones,8119589,31.651.955.604.894.000,31.130.719.173.825.200,2014,,8K,,,,,,1,8
secadora,Samsung,Audioportátil,3260369,4.169.065.829.817.510,11.382.146.695.434.900,2006,,,,,,,,2,1
tablet,Samsung,Comunicaciones,3046505,14.940.072.249.561.600,29.832.936.837.984.700,2023,8274.0,,,4G,4GB,128GB,,3,5
audifonos,Bose,Comunicaciones,4272865,466.964.037.434.899,39.043.929.536.474.500,2009,,,,Bluetooth,,,,3,7
secadora,Whirlpool,Wearables,8670684,4.464.123.317.740.580,10.238.563.853.236.900,2000,,,,,,,,1,7
nevera,LG,Audioportátil,5809973,2.906.724.867.350.730,21.723.196.994.699.400,2023,,,,,,,,3,4
lavadora,Samsung,Electrodomésticos,3519957,4.193.541.886.766.250,1.274.122.466.166.760,2017,,,,,,,,2,9
parlante,JBL,Fotografía,9156632,49.715.637.765.766.900,23.440.614.274.192.500,2017,,,,NFC,,,,2,10
teclado,Microsoft,Informática,7436092,25.438.488.226.242.400,18.599.150.901.556.600,2006,,,,,,,,1,6
cargador,Anker,Audioportátil,1194185,42.814.410.506.461.700,1.875.712.288.594.200,2004,,,,,,,,3,6
parlante,LG,Monitores,1468900,40.879.035.469.242.900,13.226.940.178.103.000,2022,,,,NFC,,,,2,8
cargador,Apple,Audio,8467267,3.404.924.983.214.760,19.334.266.399.857.500,2010,,,,,,,,1,8
camara,Nikon,Wearables,8808528,953.919.847.294.727,36.982.123.461.309.200,2009,,1080p,,,,,,3,1
celular,Apple,Videojuegos,4897715,22.080.366.795.425.400,3.693.095.130.103.230,2017,1768.0,,,,8GB,1TB,IP67,3,2
secadora,Bosch,Informática,6957522,3.095.610.181.231.120,13.183.347.028.523.700,2016,,,,,,,,1,7
camara,Panasonic,Monitores,5832837,5.776.629.816.713.280,2.471.722.783.757.690,2004,,,,,,,,2,10
audifonos,Beats,Monitores,6837018,45.133.840.644.158,2.586.871.507.732.120,2023,,,,4G,,,,2,8
cargador,Samsung,Informática,7654902,5.628.896.062.832.400,18.274.659.384.388.400,2005,,,,,,,,3,8
mouse,HP,Fotografía,2566175,5.902.224.530.617.300,33.528.586.890.098.600,2000,,,,,,,,1,3
cargador,Samsung,Informática,2401664,3.703.746.812.669.800,17.942.291.496.528.200,2003,,,,,,,,3,3
cpu,Qualcomm,Informática,539319,328.417.055.887.352,13.675.303.983.649.800,2015,,,,,,,,2,9
parlante,Sony,Videojuegos,9443197,12.574.678.700.867.500,38.189.672.554.904.300,2002,,,,,,,,2,6
televisores,Samsung,Videojuegos,2150723,38.839.563.605.239.900,57.363.058.721.150.200,2017,,4K,LCD,,,,,1,10
secadora,Whirlpool,Comunicaciones,2445491,1.869.075.008.740.950,11.340.876.938.618.300,2017,,,,,,,,2,10
nevera,Whirlpool,Fotografía,2079335,4.517.830.301.051.100,18.422.895.543.563.200,2015,,,,,,,,2,2
monitor,HP,Wearables,9045676,2.800.655.901.790.360,1.872.805.368.301.140,2013,,1080p,LCD,,,,,3,4
parlante,Bose,Monitores,79654,4.966.968.111.960.560,2.147.168.300.517.970,2022,,,,5G,,,,3,1
tablet,Apple,Informática,2875864,2.553.613.102.707.790,45.845.333.906.320.800,2009,,,,WiFi,4GB,256GB,,3,5
camara,Panasonic,Comunicaciones,6155401,2.532.026.120.047.340,37.496.248.792.830.000,2010,,1080p,,,,,,3,5
teclado,Razer,Audioportátil,7886206,3.254.470.839.024.590,13.373.638.156.302.300,2019,,,,,,,,2,4
tablet,Amazon,Audioportátil,9781786,22.106.423.256.800.200,25.884.328.334.569.300,2012,5241.0,,OLED,,16GB,64GB,,1,5
nevera,Whirlpool,Comunicaciones,6069812,46.334.554.303.333.100,28.693.124.195.922.400,2009,,,,,,,,2,1
nevera,Whirlpool,Audio,3659815,19.013.801.263.048.400,23.297.419.421.024.900,2008,,,,,,,,1,10
televisores,Samsung,Videojuegos,9669191,294.882.775.919.105,12.115.478.172.741.600,2004,,,LCD,,,,,1,10
nevera,Whirlpool,Comunicaciones,1272615,16.926.524.733.864.600,2.843.774.168.472.510,2005,,,,,,,,2,8
televisores,TCL,Audio,5161296,12.385.230.778.856.700,17.136.461.597.743.900,2022,,8K,LED,,,,,2,4
laptop,Lenovo,Audioportátil,124782,3.436.659.975.722.620,32.181.329.145.450.300,2008,,,LED,Bluetooth,4GB,1TB,,2,1
monitor,Samsung,Wearables,2491786,5.601.327.772.862.550,14.683.291.291.144.500,2004,,1080p,LED,,,,,3,4
smart watch,Fitbit,Monitores,255501,34.442.530.734.227.700,10.716.011.362.815.400,2001,,,,,,,None,3,7
monitor,LG,Electrodomésticos,274701,14.614.601.265.744.200,6.107.820.830.142.090,2023,,1080p,,,,,,1,4
televisores,LG,Informática,5270685,28.185.109.970.070.900,508.030.679.373.397,2003,,4K,LED,,,,,3,10
teclado,Logitech,Monitores,6709247,3.857.433.436.268.770,6.657.108.543.933.610,2002,,,,,,,,2,2
laptop,Apple,Comunicaciones,7686693,911.468.129.701.941,28.974.907.186.303.100,2016,6689.0,,,,16GB,128GB,,2,7
nevera,GE,Fotografía,5615259,8.465.313.555.144.470,16.251.142.008.147.300,2003,,,,,,,,1,3
lavadora,LG,Comunicaciones,9413461,11.668.598.588.460.100,11.811.069.282.185.200,2005,,,,,,,,2,1
mouse,Razer,Videojuegos,895998,14.087.910.618.243.400,47.451.293.102.282.400,2008,,,,,,,,2,3
audifonos,Beats,Audio,3271887,4.161.782.927.217.790,2.504.997.974.991.860,2003,,,,Bluetooth,,,,2,6
televisores,LG,Videojuegos,9755247,16.899.192.851.231.500,13.762.816.211.856.600,2018,,8K,LED,,,,,3,10
nevera,Samsung,Audioportátil,9990670,3.991.843.088.168.450,2.903.394.463.833.720,2001,,,,,,,,3,7
mouse,HP,Wearables,7723680,336.254.986.338.957,25.537.799.313.378.400,2011,,,,,,,,2,5
laptop,Lenovo,Comunicaciones,3292238,3.414.428.848.606.540,7.943.354.426.460.290,2023,,,LCD,5G,,,,2,8
nevera,Whirlpool,Comunicaciones,9889286,4.926.206.439.698.460,2.506.110.250.659.930,2003,,,,,,,,3,9
cargador,Apple,Fotografía,1313213,1.653.892.130.657.560,1.081.517.002.576.490,2007,,,,,,,,2,8
laptop,HP,Monitores,8654447,7.175.219.537.195.530,5.409.389.613.017.620,2005,,,OLED,,16GB,512GB,,2,9
parlante,LG,Wearables,3161287,3.130.175.049.796.930,15.020.525.739.127.300,2014,,,,,,,,1,7
audifonos,Beats,Electrodomésticos,7589762,3.498.993.421.859.860,2.429.444.415.503.490,2022,,,,5G,,,,1,1
audifonos,Beats,Monitores,8021677,42.953.145.224.840.300,3.574.192.179.426.900,2022,,,,4G,,,,1,4
teclado,Razer,Fotografía,8965571,6.262.975.578.353.100,21.650.215.734.623.600,2021,,,,,,,,3,4
teclado,Corsair,Comunicaciones,3801686,6.315.404.935.078.000,19.794.166.311.692.700,2023,,,,,,,,2,2
cpu,Qualcomm,Electrodomésticos,1345684,26.236.042.278.285.900,7.353.485.724.473.980,2009,,,,,,,,1,8
smart watch,Garmin,Fotografía,2000732,13.337.782.007.777.900,8.540.227.966.610.700,2014,5583.0,,LED,NFC,,,,2,6
nevera,GE,Wearables,7078690,6.844.083.326.544.110,1.828.380.707.496.010,2017,,,,,,,,2,3
nevera,GE,Monitores,8469390,17.371.898.234.657.400,2.062.982.718.007.070,2023,,,,,,,,1,3
lavadora,LG,Videojuegos,5498772,30.169.756.996.842.500,1.183.295.623.577.160,2016,,,,,,,,3,4
smart watch,Apple,Audioportátil,9348171,14.100.073.650.052.400,17.845.836.604.132.800,2015,,,LED,5G,,,IP68,2,6
camara,Panasonic,Videojuegos,5783391,15.721.381.205.427.600,4.142.306.104.160.800,2001,,1080p,,,,,,2,7
mouse,Microsoft,Fotografía,2015452,4.124.873.379.309.910,4.466.779.003.709.400,2022,,,,,,,,1,10
teclado,Microsoft,Comunicaciones,3344559,24.491.469.056.501.500,27.401.133.908.559.200,2022,,,,,,,,3,1
mouse,HP,Wearables,7766894,40.342.051.993.118.500,4.805.805.120.194.280,2020,,,,,,,,3,2
tablet,Huawei,Informática,9508266,29.429.327.350.132.200,2.058.956.418.447.850,2023,,,OLED,NFC,32GB,128GB,,1,3
parlante,LG,Audioportátil,685991,4.265.875.654.727.210,3.607.078.974.883.490,2015,,,,WiFi,,,,1,6
nevera,Whirlpool,Audioportátil,6573874,776.265.240.952.882,20.551.409.333.802.100,2004,,,,,,,,2,10
smart watch,Garmin,Audio,8024877,9.189.638.327.101.050,13.471.101.838.841.400,2004,,,LCD,Bluetooth,,,None,2,10
televisores,Samsung,Electrodomésticos,6177855,26.752.454.167.718.300,8.805.445.324.189.090,2001,,8K,OLED,,,,,2,1
tablet,Amazon,Fotografía,4177909,3.815.774.209.794.790,23.574.692.024.772.100,2009,9972.0,,LCD,4G,32GB,1TB,,3,6
nevera,Whirlpool,Comunicaciones,6707987,12.829.086.643.686.600,23.203.852.546.465.100,2018,,,,,,,,1,8
camara,Panasonic,Audioportátil,5666269,49.321.718.104.531.300,21.040.233.875.094.200,2018,,4K,,,,,,1,7
lavadora,Samsung,Fotografía,995437,604.010.571.952.293,144.773.691.327.771,2018,,,,,,,,2,5
parlante,Sony,Monitores,3615757,2.918.503.694.580.760,13.373.923.383.580.600,2007,,,,,,,,3,8
audifonos,Beats,Fotografía,7478506,2.955.149.978.069.830,25.606.238.924.929.700,2008,,,,WiFi,,,,3,6
parlante,Sony,Audioportátil,4359708,44.554.529.677.763.000,38.595.830.936.378.200,2010,,,,,,,,2,7
secadora,LG,Comunicaciones,8984072,4.646.432.638.738.830,12.901.246.027.557.700,2009,,,,,,,,1,4
monitor,LG,Audio,2034047,41.883.541.789.848.500,14.242.552.470.631.300,2001,,8K,,,,,,1,2
celular,Apple,Wearables,1488525,31.683.678.306.802.600,21.049.456.621.878.600,2002,,,,NFC,32GB,512GB,IP68,1,3
cpu,IBM,Fotografía,2569670,10.105.359.792.357.000,17.704.224.811.987.400,2007,,,,,,,,2,3
teclado,Razer,Monitores,950388,14.725.974.069.418.200,7.531.967.055.923.170,2017,,,,,,,,3,4
camara,Nikon,Fotografía,6374424,4.858.804.551.367.920,34.756.684.411.629.700,2017,,4K,,,,,,1,8
parlante,JBL,Fotografía,8747244,27.349.370.988.648.200,4.624.845.692.530.430,2023,,,,Bluetooth,,,,1,1
monitor,Dell,Monitores,4457525,31.286.806.926.730.700,52.707.529.733.656,2002,,4K,,,,,,3,8
camara,Panasonic,Wearables,9419115,12.654.593.712.220.200,38.491.767.048.451.200,2008,,8K,,,,,,3,6
camara,Canon,Electrodomésticos,9955318,9.428.179.196.402.640,39.792.567.632.749.800,2004,,4K,,,,,,3,6
teclado,Microsoft,Videojuegos,4884908,3.544.112.809.747.410,29.541.276.846.503.600,2018,,,,,,,,3,1
secadora,Whirlpool,Comunicaciones,2152119,6.804.902.149.121.080,134.532.264.276.381,2019,,,,,,,,1,4
cpu,AMD,Audioportátil,6746374,38.822.186.507.825.500,15.330.520.900.250.800,2007,,,,,,,,3,8
televisores,Sony,Informática,9562935,20.238.859.491.821.200,8.582.750.735.782.820,2007,,4K,OLED,,,,,2,1
secadora,LG,Monitores,8117319,3.535.427.259.947.670,11.645.364.910.422.200,2011,,,,,,,,2,6
tablet,Amazon,Comunicaciones,5054342,3.521.867.719.229.560,4.813.468.652.049.320,2021,7361.0,,LED,WiFi,4GB,1TB,,1,3
parlante,Bose,Fotografía,6059018,4.338.873.512.578.150,2.186.438.178.040.810,2016,,,,Bluetooth,,,,2,4
laptop,HP,Videojuegos,4504025,34.987.658.017.997.100,34.171.030.262.360.300,2003,,,LCD,,4GB,,,3,5
televisores,Sony,Comunicaciones,6830433,6.927.430.702.239.950,63.510.667.171.539.000,2010,,8K,LCD,,,,,3,1
camara,Sony,Electrodomésticos,818354,12.723.786.853.286.000,18.654.099.275.181.900,2001,,8K,,,,,,3,1
cpu,Qualcomm,Audioportátil,6277060,3.493.021.281.932.900,19.160.241.044.150.600,2017,,,,,,,,1,5
